t,f1,f2,f3,fx,fy,fz,frx,fry,frz
1.75,1430.74209630464,1404.99562289614,1414.55602745084,-2.3544342907141,-32.8441124145511,-3303.10099725154,-839.431719973154,77820.3942477037,-45.2281908654342
1.8,1428.66609934903,1411.85700471544,1417.47553131205,-6.09787115883536,-30.6193416377598,-3309.31206652072,-980.188464594476,77700.7953085936,-2.22854013170116
1.85,1421.77278288893,1418.50471167615,1418.75376723278,-12.204352935768,-27.5317048748202,-3310.28416145624,-1164.52488890541,77312.3578697403,57.7756197575829
1.9,1412.54251959709,1424.23858380036,1417.41557615053,-18.6434068229321,-23.4335850576665,-3306.65464017868,-1400.21232564841,76793.6486640241,137.808446792923
1.95,1403.39165456498,1428.62157416928,1413.19302404893,-23.7034766813923,-18.4192021772459,-3299.78489786212,-1681.3341076497,76279.3388897869,235.632474562653
2,1395.82410761955,1431.42645605396,1406.63568353716,-26.5548382172714,-12.9116906873067,-3291.12369556578,-1983.1227895091,75853.6087774553,341.585921005314
2.05,1390.59140586436,1432.49516090817,1398.62815045545,-26.9614370478436,-7.47803377335158,-3281.83750738875,-2272.4930559834,75558.4099973998,442.777652356991
2.1,1388.48948494892,1431.48921522422,1389.82919234677,-24.516313644789,-2.65867211437074,-3272.80469809313,-2517.6466325788,75436.5617994388,526.832529382896
2.15,1390.79450695943,1428.25328008271,1381.01752782722,-18.6128956858196,1.03304262159602,-3265.50307413164,-2689.02742167553,75557.6296944759,582.012711334582
2.2,1398.28747975832,1423.23730217512,1373.26861294968,-9.22617630703864,3.24158699151094,-3261.72464865994,-2767.39452305711,75964.260060276,600.414777541581
2.25,1409.65250500992,1417.69147961769,1367.8814589096,2.06183000121231,3.92259105925937,-3262.43036930387,-2752.60707330159,76583.4410214098,581.761878509627
2.3,1421.44802707968,1413.19458080434,1366.13842569035,12.2404107758318,3.22534369163064,-3267.14694754104,-2656.018392688,77224.5669497164,530.547536705323
2.35,1429.76011280435,1410.68057347951,1368.50962479922,18.4354524292343,1.40044306237053,-3273.89333605998,-2493.59879237282,77670.7244016884,453.192064357155
2.4,1431.84933311859,1410.18506809963,1374.17758005816,19.1824370454613,-1.08291071925429,-3279.89983021214,-2292.35813757475,77769.6361103121,360.567400648741
2.45,1426.9863346585,1411.2110776789,1381.57113023044,14.6446739838956,-3.63533027461218,-3282.95965437062,-2085.61291402254,77480.9915047701,266.165373552032
2.5,1416.84567123643,1412.62577808353,1388.90458706206,6.72983293437574,-5.8976256448694,-3282.09710127164,-1892.81582825658,76897.811739666,177.893274804555
2.55,1404.99669900888,1412.92952685797,1394.64138082763,-1.422536467698,-7.8491096055184,-3277.74089618751,-1713.51197882287,76217.9838796815,95.4735932332673
2.6,1395.41829266291,1411.19738745362,1398.07094195809,-6.84873838907015,-9.61518412595615,-3271.74137969193,-1539.75763938901,75662.9195844175,15.5237149572722
2.65,1391.05087611051,1407.20835900556,1399.17717355246,-7.64600955233059,-11.3206970975845,-3266.24437592287,-1364.71695933329,75396.2518915709,-64.7223333523753
2.7,1392.96280716772,1401.44522433141,1398.66013774364,-3.48808505343017,-13.0956802261523,-3263.04112820007,-1182.06977800947,75477.3325407082,-147.922103507423
2.75,1400.45261738858,1394.87561590378,1397.72889872138,4.52540266463475,-15.0780708733553,-3263.30965813548,-985.294684894227,75867.7560657786,-237.22437771701
2.8,1412.06478993892,1388.24057639829,1397.26946977969,15.004572646032,-17.349108879327,-3267.19449983387,-770.699051511921,76486.0860506027,-334.710977899397
2.85,1426.39610635614,1382.16083685311,1397.84136818024,26.7327366944074,-19.8795058125051,-3274.51698828326,-540.928029272623,77253.4124942187,-439.681354619215
2.9,1440.83177079735,1377.47809829977,1400.02495408091,37.676152217718,-22.52754244462,-3284.34915942537,-305.133604825385,78026.5257793727,-548.591215210629
2.95,1453.4102908996,1375.02274721331,1404.24880111975,46.1876621124169,-25.072957222515,-3296.0641615425,-76.7015606382787,78691.9033343873,-656.358417314133
3,1464.44457509265,1375.56107118693,1410.78123897364,52.2024944268493,-27.2478330187787,-3310.76570164699,128.244366798319,79270.096709377,-757.105459288108
3.05,1469.13262806881,1379.42037289682,1419.46275631228,52.6547358923028,-28.7732443461444,-3324.79440448589,293.992332617015,79496.0767725468,-844.082603116675
3.1,1466.59711365288,1385.66035991116,1429.31001636851,47.5521801457523,-29.610329678957,-3335.94954788782,419.502888018012,79320.969072325,-916.397320094996
3.15,1458.32872753432,1390.67967707688,1438.72370563243,39.3874145245957,-30.8544128036799,-3341.28274577634,571.592062206291,78828.5917364252,-999.086282689143
3.2,1447.60044982459,1398.56887831464,1445.96122013812,29.4545020850294,-29.3836748819691,-3345.18984967031,564.203072304063,78198.561972079,-1021.37705026774
3.25,1438.75484056868,1405.61825554259,1449.58467402072,21.99939547481,-26.4032076274466,-3347.07168909145,469.769837269522,77671.7173169713,-1010.89242122852
3.3,1435.600959051,1410.23002189065,1449.17436097019,20.0207040878711,-22.5689719290651,-3348.30760817011,327.288535288349,77459.2922492312,-982.743065688581
3.35,1439.57040094305,1412.6711067507,1445.35341289865,24.1570106246794,-18.075345321789,-3350.73271137004,147.812515428044,77641.1468345533,-941.494263056219
3.4,1450.06158952128,1413.98065851293,1439.32820467277,33.3732516275024,-13.0073262105173,-3355.6454216745,-64.1306947073117,78182.94526468,-889.11009481534
3.45,1465.55076626637,1415.56498868196,1432.73605725265,45.8274137554027,-7.47696223677974,-3364.24697144695,-302.248917464003,78999.5219954382,-828.443889284342
3.5,1482.44699979613,1418.44871080442,1427.12206289157,58.523361504945,-1.74486827609246,-3375.75626494736,-550.716295328043,79892.5747049745,-765.844283302812
3.55,1496.98491945707,1422.5587723072,1423.36793965323,68.8820762539743,3.69166642029246,-3387.84984578473,-779.177162853472,80653.1239831188,-712.654880873805
3.6,1506.70027860117,1427.65963010396,1421.86016790762,75.3183586274571,8.49654297792981,-3398.68061775132,-967.071036947392,81144.7645189029,-676.177825928608
3.65,1510.59301021526,1435.07658411513,1422.60447572273,76.7937066082737,13.3777840473757,-3408.48658904119,-1156.19350166542,81311.4143554775,-640.491701180679
3.7,1508.94460644248,1445.02328209938,1425.2021597166,73.5201828206307,18.6758522670007,-3417.35673715893,-1366.44421319345,81168.9680826814,-597.951154172639
3.75,1501.9442914422,1456.03986023302,1428.97628676482,66.2243576733558,23.9643421026585,-3423.77905274833,-1572.18439306428,80730.8910642879,-557.623486552536
3.8,1490.51899616657,1466.54491765058,1432.87103305987,56.2359197653907,28.9455034513015,-3426.4121190134,-1755.79406473652,80050.103026103,-525.277184704665
3.85,1477.63731141171,1475.26301805477,1435.60845722434,46.1483799607069,33.5988582050941,-3425.57646831648,-1916.82574191281,79290.9277817836,-500.494564739884
3.9,1467.16363584432,1481.9183176989,1436.13179960776,38.7685188407025,38.328451607828,-3423.25898081705,-2080.42768732203,78666.3025878358,-473.977834468704
3.95,1462.7024435447,1486.16325172997,1433.82503556212,36.6497179411863,43.2753024162938,-3421.54680897998,-2256.18427202427,78374.1933358988,-442.559999481658
4,1466.40810617574,1487.35877833965,1428.96809090416,41.2735604052499,47.9440290736057,-3421.86175208784,-2415.61719709887,78533.073270883,-417.335263992452
4.05,1477.99945701814,1485.91407546463,1422.94249349752,51.9592427809137,51.8190006373862,-3425.39915573466,-2528.19090954112,79127.314569106,-410.412825884855
4.1,1494.81771212954,1483.2136742407,1417.61025317459,66.1066316938599,54.6615533135763,-3432.64612339005,-2578.81174499804,80009.7888207284,-428.100155189275
4.15,1512.8183788233,1480.83578437643,1414.69089316176,80.2248971688515,56.4171679928611,-3443.03618767841,-2562.63190007678,80957.0327460523,-472.484884884562
4.2,1527.71648461405,1479.87202255306,1414.52896210654,91.2161834929329,57.4936265579404,-3454.34303262801,-2502.54575596107,81732.7382058462,-534.490986343872
4.25,1536.1984231624,1480.44880976085,1418.79628051194,96.4642342594956,57.0942660481398,-3465.36145254361,-2349.11813186951,82154.2447795802,-632.341950077114
4.3,1537.07020116519,1482.21074434924,1427.153841849,95.3924285161106,55.1835487877503,-3474.6151575549,-2099.63469419491,82155.9197364961,-766.340380973958
