Time,X,Y,Z,Rotation 1,Rotation 2,Rotation 3
5.7,21.57411003,-0.385735959,12.00385189,-0.125754833,0.371014833,0.780671
5.75,21.54381752,-0.411024541,12.02941895,-0.151620999,0.388396949,0.804772496
5.8,21.51342392,-0.436576188,12.05647755,-0.177594647,0.405912489,0.828947306
5.85,21.48293304,-0.46237883,12.08502769,-0.203642428,0.4235273,0.853180885
5.9,21.4523468,-0.488416344,12.11506081,-0.229735225,0.441179901,0.877456009
5.95,21.42167473,-0.51467526,12.14657021,-0.255844563,0.458824903,0.901759744
6,21.3909359,-0.541143835,12.17955017,-0.281942606,0.476432323,0.926081717
6.05,21.36014557,-0.567805529,12.21398354,-0.308006018,0.493970275,0.950406909
6.1,21.32932854,-0.594641864,12.249856,-0.334015429,0.511434972,0.974719167
6.15,21.29850388,-0.62163806,12.28715038,-0.359951347,0.528827012,0.999008358
6.2,21.26769447,-0.648778737,12.32584286,-0.385795981,0.546142399,1.023263693
6.25,21.23691559,-0.676042497,12.36591339,-0.411538273,0.563392878,1.047469258
6.3,21.2061882,-0.70340538,12.40733814,-0.437172383,0.580574989,1.071605444
6.35,21.17551994,-0.730841279,12.45009041,-0.462696314,0.597672284,1.095651388
6.4,21.14492798,-0.758321404,12.4941473,-0.488111347,0.614667118,1.119585752
6.45,21.11441994,-0.785816908,12.53948402,-0.51341933,0.631520927,1.143387556
6.5,21.08401108,-0.813299119,12.58607292,-0.538621247,0.648191333,1.16703546
6.55,21.05371475,-0.840740383,12.63389111,-0.563715696,0.66464144,1.190509081
6.6,21.02354431,-0.868117869,12.6829071,-0.588696003,0.680824757,1.213792443
6.65,20.99351883,-0.895412624,12.7330904,-0.61355114,0.696712792,1.236871958
6.7,20.96366119,-0.922605336,12.78440857,-0.638268352,0.712296188,1.259733438
6.75,20.93399239,-0.94967562,12.83682537,-0.662834883,0.727565706,1.282360196
6.8,20.90453339,-0.976601064,12.89030266,-0.687240362,0.74252677,1.304733157
6.85,20.87530327,-1.003355265,12.94480133,-0.71147567,0.757185519,1.326830029
6.9,20.84631538,-1.029913425,13.00027752,-0.735529304,0.771534562,1.348630786
6.95,20.8175869,-1.056254506,13.05669308,-0.759384274,0.785573065,1.370118856
7,20.78913307,-1.082358837,13.11400795,-0.783019185,0.799285173,1.391276598
7.05,20.76096153,-1.108207941,13.17217636,-0.806407332,0.812635601,1.412085772
7.1,20.73309326,-1.133788824,13.2311573,-0.829515874,0.825599492,1.432532668
7.15,20.70554543,-1.159092069,13.29090881,-0.852306128,0.838147342,1.452606678
7.2,20.6783371,-1.184107661,13.35138416,-0.874737382,0.850243866,1.472295642
7.25,20.65149117,-1.20882535,13.41254044,-0.89676857,0.86187613,1.491586804
7.3,20.6250267,-1.233236074,13.4743309,-0.918358088,0.87302798,1.510469079
7.35,20.59896469,-1.257329822,13.53670406,-0.939464092,0.883689344,1.528931141
7.4,20.5733242,-1.281095624,13.59961319,-0.960045576,0.893875182,1.546960354
7.45,20.54812431,-1.304523945,13.66300774,-0.980060399,0.903590083,1.564544797
7.5,20.52338028,-1.327605486,13.72683144,-0.99946636,0.912837446,1.581671596
7.55,20.49910736,-1.350330114,13.79103565,-1.018221736,0.921630502,1.598326325
7.6,20.475317,-1.372691035,13.85556698,-1.036283016,0.929956436,1.614498973
7.65,20.45202446,-1.394684315,13.9203701,-1.053605795,0.937800646,1.630182862
7.7,20.42924309,-1.416304111,13.98539734,-1.070147514,0.94515413,1.645371079
7.75,20.40699005,-1.437542915,14.05059147,-1.085870385,0.951987743,1.660055995
7.8,20.38528061,-1.458391905,14.11590004,-1.10074091,0.958280444,1.674229026
7.85,20.36413383,-1.47884047,14.1812706,-1.11473012,0.964024723,1.687881112
7.9,20.34356689,-1.498877883,14.24664783,-1.127812862,0.969206631,1.701004505
7.95,20.32359886,-1.518492818,14.31197643,-1.139967918,0.973827541,1.713590264
8,20.30423737,-1.5376724,14.37720108,-1.151179194,0.97789526,1.725628018
8.05,20.28549767,-1.556401491,14.4422636,-1.161434531,0.981409609,1.737106919
8.1,20.26738739,-1.574666381,14.50710964,-1.170723796,0.984383941,1.748019457
8.15,20.24991798,-1.592453361,14.57168198,-1.179039478,0.986829698,1.758358955
8.2,20.23310089,-1.609747052,14.63592339,-1.186377048,0.988742888,1.768117189
8.25,20.21694374,-1.626532078,14.69977856,-1.192734599,0.990121186,1.777285695
8.3,20.20145798,-1.642795324,14.76319027,-1.198111773,0.99095583,1.78585887
8.35,20.18665314,-1.658523917,14.82610416,-1.202509403,0.991228819,1.793832421
8.4,20.17254257,-1.67370379,14.88846397,-1.205932736,0.990929008,1.801201582
8.45,20.159132,-1.688319921,14.95021629,-1.208390236,0.990042925,1.807961702
8.5,20.14643288,-1.702355266,15.01130486,-1.209895492,0.988557696,1.814106941
8.55,20.13444519,-1.715790629,15.07167625,-1.210465431,0.986474156,1.819630146
8.6,20.12317467,-1.728607655,15.13127804,-1.210118294,0.983794093,1.824524879
8.65,20.1126194,-1.74078989,15.19005489,-1.208870649,0.9805215,1.828786492
8.7,20.10277939,-1.752323389,15.24795341,-1.206736684,0.976667523,1.832411051
8.75,20.09365082,-1.763197422,15.30492115,-1.203725934,0.972233593,1.835396647
8.8,20.08523178,-1.773405313,15.36090565,-1.199843407,0.967223346,1.837744355
8.85,20.077528,-1.782944918,15.41585445,-1.195089221,0.961641729,1.839459538
