t,x,y,z,rx,ry,rz
4.6,-0.321544264368466,0.0600919027261753,-1.75480873898757,0.0058746732981117,0.000696266694318928,0.00504134574055402
4.65,-0.348854446341061,0.0306919754615748,-1.75607067893368,0.00562205477851035,0.000912885389543524,0.00538925236071701
4.7,-0.376652261967806,0.000579402850142352,-1.75593294465018,0.00535787179455175,0.00113429037098903,0.00574278700449256
4.75,-0.404921008434421,-0.0302228350346932,-1.75439096105857,0.00508183099129523,0.00135968353449511,0.00610165108095224
4.8,-0.433640227078318,-0.0616914691819474,-1.75142046329744,0.00479365302879399,0.00158897232525151,0.00646553303137129
4.85,-0.462791684221088,-0.0938031731917163,-1.7469940744286,0.00449312726326063,0.00182237096497062,0.00683411660208923
4.9,-0.492350068317769,-0.126533105073044,-1.7410943632486,0.00418013822371182,0.00205998995044741,0.00720706630591726
4.95,-0.522296510924864,-0.159861859207375,-1.73368993950784,0.00385473556476478,0.00230256048737197,0.0075841251780296
5,-0.552617853964602,-0.193779049858808,-1.72475259209933,0.00351718562366338,0.0025506729682704,0.00796517464075686
5.05,-0.583296114298481,-0.228275967210255,-1.71427109270796,0.0031679016420146,0.00280442019229901,0.00835012000998714
5.1,-0.614323875873335,-0.263339931107307,-1.70221974441382,0.00280733278030145,0.00306411377054246,0.00873880733022711
5.15,-0.64569886333738,-0.298955371758101,-1.68858946364587,0.00243594429094262,0.00332945539132499,0.00913105351643823
5.2,-0.677409955232491,-0.335105814335969,-1.67338756351204,0.00205423177763252,0.0035996333369181,0.00952669209911646
5.25,-0.709448690671366,-0.371773012826282,-1.65660519758747,0.00166270665674856,0.00387417326173766,0.00992554001067654
5.3,-0.741799905855451,-0.408933956524653,-1.63824325727609,0.00126188310228839,0.00415238151957907,0.0103273298666771
5.35,-0.774441642996798,-0.446563046155205,-1.61831017458958,0.000852314470891346,0.00443348597678123,0.0107317568977241
5.4,-0.807354212611354,-0.484641203928111,-1.59679830893537,0.000434669607633378,0.00471730405445111,0.0111386265345126
5.45,-0.840514691455706,-0.523157109990364,-1.57370797780954,0.00000975558766719238,0.00500355798343824,0.0115478680388479
5.5,-0.873896752189914,-0.562097660600527,-1.549041411936,-0.000421579376444032,0.00529214009438106,0.0119593867615248
5.55,-0.907485083110352,-0.601444770653583,-1.52278504980004,-0.000858516533294893,0.00558347691084219,0.0123730152207482
5.6,-0.941260484582713,-0.64118247801027,-1.49493951526424,-0.00130023444367294,0.00587770575532716,0.0127886264787216
5.65,-0.975201497389502,-0.68129563023747,-1.46550891327164,-0.00174592145966282,0.00617493897467993,0.0132061071414036
5.7,-1.00929811401048,-0.721763745829984,-1.43448844381798,-0.00219483588614562,0.00647543040958691,0.0136252793248367
5.75,-1.04353572708489,-0.762563754362142,-1.40189232153535,-0.00264628564771303,0.0067788055647505,0.0140459297846929
5.8,-1.07789921830018,-0.803674292868,-1.36773888308484,-0.00309961132406707,0.00708450940801526,0.0144678598152369
5.85,-1.11237677929872,-0.845069696692119,-1.33204169457327,-0.00355423086535549,0.00739194585708178,0.0148908155583291
5.9,-1.14695213696089,-0.88672027080073,-1.29483369144084,-0.00400963608405999,0.00770004186607262,0.015314496398459
5.95,-1.18160518760217,-0.928600838056692,-1.25613964966469,-0.00446532999767606,0.00800800524749361,0.0157386765947412
6,-1.21630990430923,-0.97068912034246,-1.21597732955681,-0.00492082677635312,0.00831531269927511,0.0161631751041723
6.05,-1.25104367710837,-1.01295730974207,-1.17437669281241,-0.00537571913005692,0.00862140770573183,0.0165877297957521
6.1,-1.28578095256935,-1.05537611153949,-1.13135379553957,-0.00582966898851135,0.00892622417124501,0.0170120587464465
6.15,-1.32050290229934,-1.09792226569495,-1.0869258324979,-0.00628233615213861,0.00922977253288356,0.0174359851020422
6.2,-1.35518582684715,-1.1405720730546,-1.04111847716026,-0.00673341010941149,0.00953198304729059,0.0178593205589665
6.25,-1.38981734379305,-1.18329534152366,-0.99394739874057,-0.00718269786182128,0.00983306070338673,0.018281787365522
6.3,-1.42437587821423,-1.226059125589,-0.945438034416368,-0.00763009748213968,0.0101329451127799,0.0187030432800957
6.35,-1.45885017290741,-1.26882878261028,-0.895623809849125,-0.00807557411614153,0.0104313492037146,0.0191227241746459
6.4,-1.49321918679337,-1.31156758047582,-0.844534813418118,-0.00851915012149454,0.0107279650128445,0.0195404576308167
6.45,-1.52746657870518,-1.3542390886048,-0.792211299751083,-0.0089608577518833,0.0110221194713968,0.019955877478531
6.5,-1.5615675139901,-1.39680674953512,-0.738697921876591,-0.00940071418134763,0.011313072943741,0.0203686112645266
6.55,-1.59550036722042,-1.43923485260825,-0.684032449764199,-0.00983869494037143,0.0116001814731963,0.0207783032383419
6.6,-1.6292412646245,-1.48149308042888,-0.628265108340212,-0.0102746835456804,0.0118826336387403,0.0211846745661756
6.65,-1.66276481252796,-1.52355487856858,-0.57143807031211,-0.0107084875223647,0.0121599321611624,0.021587488092689
6.7,-1.69604627426603,-1.56539263687073,-0.51358793773475,-0.0111398842536781,0.0124319137300045,0.0219864961905679
6.75,-1.72906285263879,-1.60697670166576,-0.454755098745768,-0.0115686511054214,0.0126984170942971,0.0223814076167198
6.8,-1.7617952247334,-1.64827494919921,-0.394976046931939,-0.0119946070694977,0.0129595369206987,0.0227718894495901
6.85,-1.79422614891189,-1.68925028826545,-0.334287981475702,-0.0124175929893326,0.0132153803549721,0.0231575526203818
6.9,-1.82634096403167,-1.72986763715808,-0.272738241548797,-0.0128374080997023,0.0134658183998323,0.023538047609459
6.95,-1.85812267700284,-1.77009573337878,-0.21036593402102,-0.0132537558691668,0.0137108364992334,0.0239130851808581
7,-1.8895527721678,-1.80990332943643,-0.147218105074376,-0.0136662628845326,0.0139501579312225,0.0242823574410456
7.05,-1.9206158533379,-1.84925903356448,-0.0833553034929242,-0.014074463055623,0.0141831668563729,0.024645546041966
7.1,-1.95128557160562,-1.88813726714539,-0.0188292830319732,-0.0144777831988584,0.0144094294381926,0.0250024116989788
7.15,-1.98153829317492,-1.92651594815529,0.0463053154685706,-0.0148755481685242,0.014628430734739,0.0253527692675571
7.2,-2.0113471828907,-1.96437138221309,0.111986716456677,-0.0152670474061754,0.0148395549065855,0.0256964065156637
7.25,-2.04068674998555,-2.00167921681701,0.178165766688315,-0.0156515641749012,0.0150425762128467,0.0260331008090993
7.3,-2.06953458562063,-2.03841685509338,0.244788165537583,-0.0160283723479198,0.0152372127130352,0.0263626586781163
7.35,-2.09786775122694,-2.07456057753127,0.311797254011443,-0.0163967416096589,0.0154232886175888,0.0266848824467237
7.4,-2.12567104350542,-2.11008522916177,0.379151013137482,-0.0167559562704055,0.0156010650277636,0.026999551575117
7.45,-2.15292683047863,-2.14496717359192,0.446799460130618,-0.0171052808309593,0.0157706220367188,0.0273064580025963
7.5,-2.17962103172121,-2.17918263034792,0.514686390568814,-0.017443978744923,0.0159320189681959,0.0276053770354736
7.55,-2.20574185902725,-2.21270641574997,0.582767101268196,-0.0177713218085725,0.0160854867467082,0.027896056892551
7.6,-2.2312752610321,-2.24551818496485,0.650981804481557,-0.0180865506116971,0.0162308017083119,0.028178322848917
7.65,-2.25620292521636,-2.27760157287381,0.719268057478763,-0.0183888901408424,0.0163677090000298,0.0284520583514844
7.7,-2.28050973950975,-2.30893860031905,0.787573311356027,-0.0186775976013321,0.0164960515073225,0.0287171427456417
7.75,-2.30417214081334,-2.33951059035592,0.855827536712546,-0.0189520134681484,0.0166153205539796,0.0289734428802205
7.8,-2.32717033302475,-2.36929810672363,0.923968754083003,-0.0192115530908986,0.0167251489052731,0.0292208089361577
7.85,-2.34948384973844,-2.39828067183824,0.99194041936091,-0.0194557108651515,0.0168254054869763,0.0294590827866232
7.9,-2.37109259840937,-2.42643912338716,1.05968064755258,-0.0196840477882404,0.0169158468431117,0.0296881292035063
7.95,-2.39197813330452,-2.45375400432123,1.12713371669411,-0.0198961935362047,0.0169964969370501,0.0299077921369189
8,-2.41213493829396,-2.48020485560725,1.1942465279619,-0.0200918672157546,0.017067492026646,0.030117890578764
8.05,-2.43154803342547,-2.5057697146634,1.26096004214289,-0.0202708566123062,0.0171288289877602,0.0303182351957244
8.1,-2.45021312627519,-2.53042969179497,1.32722450102131,-0.0204329848716464,0.0171807408742076,0.0305086949135734
