t,f1,f2,f3
6.25,1686.92403007998,1587.07095489942,1488.91265552312
6.3,1682.35359267971,1592.15281982763,1496.04986259367
6.35,1675.9335869383,1596.85462503874,1502.91048561384
6.4,1670.51681352547,1600.39524914808,1508.55782707631
6.45,1668.86105280395,1602.21716189384,1512.41530389142
6.5,1672.69949441107,1602.14582488148,1514.38594300742
6.55,1682.16071569736,1600.54600108854,1514.92334869258
6.6,1695.87402007102,1598.23583833449,1514.85512468502
6.65,1711.56543418468,1596.20335169062,1515.10981880712
6.7,1726.78766052115,1595.30784220232,1516.45944108502
6.75,1739.44908131966,1595.9553054831,1519.25555360806
6.8,1747.57173223639,1597.50556292077,1523.33066260538
6.85,1749.78611265016,1599.98367618911,1528.16666082454
6.9,1747.54752725438,1603.42392542533,1533.04184413021
6.95,1742.9387237007,1607.38891226585,1537.10802012567
7,1738.16259329049,1611.37026185817,1539.58430309679
7.05,1735.23999228319,1614.86078246006,1539.85995475642
7.1,1735.78272452982,1617.4892475467,1537.66112777075
7.15,1740.7323562568,1619.17932983083,1533.21995171099
7.2,1749.9544321697,1619.99037955796,1527.158046374
7.25,1761.87273630187,1620.09884144494,1520.31435290046
7.3,1774.19993895448,1620.14310301093,1513.65616327851
7.35,1784.97346066501,1621.01595945737,1508.03437556094
7.4,1792.78573368918,1623.27322399333,1503.9012230331
7.45,1796.80116296106,1626.9066238508,1501.22907351512
7.5,1796.84292058097,1631.46000058796,1499.52472033708
7.55,1793.45133814129,1636.42326264468,1498.02693542191
7.6,1787.21629233525,1641.39882395017,1495.93049273951
7.65,1779.56200763106,1645.94443535218,1492.53642171301
7.7,1773.18777709064,1649.71030385934,1487.55600797268
7.75,1769.87346185669,1652.51940187033,1481.14666206595
7.8,1770.25739797924,1654.29007535734,1473.75974756811
7.85,1773.97128774529,1655.07771064226,1466.10409196667
7.9,1779.90562796991,1655.05460575786,1458.97327796683
7.95,1786.39517438142,1654.35770339886,1453.04327338747
8,1791.4067067409,1652.68881765812,1448.78694175701
8.05,1793.05463280642,1650.74925149917,1446.37169203077
8.1,1790.4445248378,1649.26675468155,1445.54031772023
8.15,1784.00487013568,1648.36405607708,1445.67159695411
8.2,1774.9295780879,1647.78406101341,1445.95831134318
8.25,1764.57058198822,1647.08719304352,1445.58016629032
8.3,1754.08156963611,1645.83277833292,1443.93338327908
8.35,1744.59926767829,1643.62505557492,1440.81434463945
8.4,1737.24115556562,1640.03480804326,1436.44013486776
8.45,1732.72702002918,1634.78058952198,1431.35024773256
8.5,1730.98252191379,1628.09660337405,1426.25263160147
8.55,1730.94296153353,1620.55191330613,1421.77747267289
8.6,1730.71785802644,1612.69916933882,1418.32989101786
8.65,1729.20239957643,1604.91739617462,1416.02693632901
8.7,1725.5542095521,1597.4967456787,1414.72052645732
8.75,1719.09238410101,1590.77643017421,1414.02100251658
8.8,1709.75506384481,1585.00071827416,1413.30540980184
8.85,1698.17578206814,1580.1454985432,1411.9078462563
8.9,1685.51247681487,1575.89537609467,1409.30696251464
8.95,1672.96825102698,1571.75596195351,1405.22595919393
9,1661.31596976949,1567.24749351522,1399.74454086895
9.05,1651.08771441969,1561.97002663024,1393.23793366171
9.1,1642.81382794094,1555.69752256078,1386.27083570135
9.15,1636.7710111751,1548.52926782474,1379.49451920968
9.2,1632.64931003433,1540.86183136531,1373.39881446219
9.25,1629.48003811025,1533.29392724859,1368.2058004931
9.3,1626.0664849648,1526.41190244556,1363.86321509464
9.35,1621.44456526257,1520.57412013507,1360.0933395433
9.4,1615.02483895552,1515.91932442747,1356.54388841044
9.45,1606.60203200895,1512.38021395876,1352.82337160346
9.5,1596.4284993298,1509.73969353767,1348.60719792042
9.55,1585.13100405107,1507.63586182269,1343.74355364575
9.6,1573.64409604361,1505.53587439857,1338.26462422817
9.65,1562.98477864759,1502.8978041114,1332.40887326575
9.7,1553.82932466904,1499.36008708184,1326.53786757917
9.75,1546.56525116571,1494.81616368013,1321.01401665634
9.8,1541.34520301348,1489.39446796333,1316.10624800032
9.85,1538.02524847822,1483.46470686279,1312.00644667753
9.9,1536.07653575138,1477.54453530926,1308.79372269548
9.95,1534.66594957029,1472.10252034262,1306.38680516779
10,1532.91052283616,1467.40362305353,1304.60546087464
10.05,1530.08464414131,1463.45192622269,1303.24741800185
10.1,1525.77562903553,1460.01965286933,1302.10367109275
10.15,1519.98057566469,1456.78938984015,1301.00408528486
10.2,1513.10368600938,1453.47790585955,1299.85724000458
10.25,1505.80297771624,1449.79919106345,1298.58351568894
10.3,1498.88022770299,1445.52236641081,1297.18857566445
10.35,1493.17973432394,1440.50596786841,1295.32311453902
10.4,1488.68265680676,1434.7275317412,1290.14417536907
10.45,1483.9186765886,1428.38440314908,1287.9792960055
10.5,1483.08030524798,1421.78469591331,1287.24389939784
10.55,1484.33385855414,1415.24456916326,1286.45781248746
10.6,1486.16637649173,1409.08949882966,1285.77008513042
10.65,1487.8461660055,1403.54898485256,1285.2637804824
10.7,1488.73028835033,1398.71006896312,1284.77564671381
10.75,1488.25853829327,1394.49200942102,1283.94599907683
10.8,1485.90068890147,1390.73376482543,1282.04323597484
10.85,1481.4008273745,1387.31621092411,1278.70943334411
10.9,1475.84488808244,1384.1629031744,1275.11863438138
10.95,1470.86554316263,1381.17075197794,1271.98474635191
11,1466.99792173599,1378.22608299728,1268.61389474078
11.05,1464.2306576073,1375.26722605694,1264.34144232012
11.1,1462.52591686972,1372.22612945001,1259.32378770692
11.15,1461.98615667423,1366.16995866958,1254.4917003223
11.2,1462.86565385618,1359.954153239,1250.45808953428
11.25,1464.8898151863,1357.66985277851,1247.02173165039
11.3,1467.16739061203,1355.84032857206,1243.84142042596
11.35,1468.72103470358,1354.30164101314,1240.73966770763
11.4,1468.81378457321,1353.39098478946,1237.48924292824
11.45,1467.12929307311,1353.21547133102,1233.6905688776
11.5,1463.64611249567,1353.49646579927,1228.98339659563
11.55,1458.71076800677,1353.41747927487,1223.45160136642
11.6,1453.19536958083,1352.24208829766,1217.66599059808
11.65,1448.15212412296,1351.08204174127,1212.18848394586
11.7,1442.40628964052,1350.91860906109,1207.15031363389
11.75,1437.22692906349,1350.88021331841,1202.44832274425
11.8,1436.37968946178,1349.86897702599,1198.09658566525
11.85,1436.75076605001,1347.57680035165,1192.76969122479
11.9,1437.63049412788,1344.84990820238,1183.01585926735
11.95,1438.71534396501,1342.90081648852,1180.13274075558
12,1439.45764344149,1342.00882687905,1178.82787990912
12.05,1439.10378156718,1341.79900927892,1177.10459332898
12.1,1436.75876304805,1341.99515056,1174.9899332144
12.15,1432.02033372198,1342.41367566216,1172.44605645865
12.2,1426.35848891062,1342.64233075927,1169.35536679119
12.25,1421.38056064993,1340.73083996688,1165.78465809789
12.3,1417.37415588583,1334.91115363676,1161.37993639764
12.35,1414.38528376912,1332.39605071345,1156.31851485063
12.4,1412.6936381634,1330.06953241091,1153.01914860168
12.45,1412.81951303962,1327.18532933998,1152.50096073709
12.5,1415.14249126387,1323.84872435685,1153.05562069148
12.55,1419.17170656624,1320.25784851779,1153.04829504037
12.6,1423.86253191732,1316.80124356898,1152.51634360136
12.65,1428.34550376826,1313.72356082772,1152.66810685412
12.7,1432.02469733282,1310.63581546729,1153.89658667315
12.75,1434.4347955669,1307.93345037544,1155.47052921052
12.8,1435.34195356501,1306.93697002172,1156.83618766575
12.85,1434.13473896552,1307.25329492631,1157.92642406379
12.9,1429.53390477844,1307.37944483256,1158.7699635092
12.95,1429.11003324544,1306.37689522027,1159.31699725519
13,1430.84644669939,1304.50814853555,1159.50502797144
13.05,1433.7767851562,1302.98780966719,1155.54958252879
13.1,1438.07033128379,1302.53086669794,1152.51006214463
13.15,1443.73159389633,1303.00071453455,1155.8020034493
13.2,1450.35632630539,1304.17481980955,1159.36942150483
13.25,1457.02874441755,1305.96003266353,1162.24144171721
13.3,1462.39880560495,1308.2967998341,1164.52112874987
13.35,1466.31927163903,1311.03962628396,1166.50826752861
13.4,1469.8495667618,1314.0279681463,1168.43542708803
13.45,1472.89500958934,1317.36598823599,1170.10991276529
13.5,1474.76619997512,1320.41066755498,1170.51234141391
13.55,1475.45401758122,1320.06602497891,1170.08844911914
13.6,1475.96646366539,1323.9334252006,1171.22406474978
13.65,1477.93032451977,1328.36416801197,1174.02752703797
13.7,1482.17443563602,1331.96091145548,1176.72606107247
13.75,1488.33848036221,1335.41051819977,1178.605231485
13.8,1495.73431478622,1339.27737640671,1180.87347103903
13.85,1503.75664991582,1343.62517206666,1184.93582661812
13.9,1511.75412018875,1348.11733234035,1190.52155839281
13.95,1518.91469059325,1351.88055161675,1196.53466925239
14,1524.66303188963,1354.7053076806,1202.41594754801
14.05,1529.061249113,1358.19409200828,1208.1158602954
14.1,1532.59169138878,1363.00940555636,1213.60535309345
14.15,1535.74132764723,1368.18422817716,1218.74645171188
14.2,1538.74593080777,1372.89316229853,1223.51195578617
14.25,1541.8274613205,1377.20141922752,1228.27751820099
14.3,1545.48815493004,1381.86498403805,1233.7051055722
14.35,1550.31447370087,1387.13346171502,1240.02979424537
14.4,1556.52921506365,1392.56499073075,1246.80899798357
14.45,1563.81697977963,1397.93525958789,1253.58395285801
14.5,1571.46750521274,1403.40862368503,1260.45236982943
14.55,1578.68963280809,1409.09450966819,1267.78307165647
14.6,1584.86804763633,1414.83983558423,1275.58094589879
14.65,1589.68717719148,1420.39079898385,1283.37195766778
14.7,1593.15131733955,1425.76126738031,1290.63461288547
14.75,1595.60420281591,1431.34977568614,1297.13421118515
14.8,1597.65850698126,1437.45278388329,1302.87052496969
14.85,1599.95236647433,1443.86970322595,1307.99430336481
14.9,1602.89928699019,1450.12166771529,1312.78944601365
14.95,1606.66837194409,1455.9579810117,1317.67406350758
15,1611.28993270217,1461.51499321836,1323.03990233381
15.05,1616.67050329427,1467.01962764614,1328.99398239449
15.1,1622.55297258658,1472.51091067045,1335.27568948546
15.15,1628.54459191873,1477.96541404163,1341.5111450941
15.2,1634.12010575049,1483.4448684643,1347.4896764001
15.25,1638.84540439713,1488.99006592795,1353.16218175683
15.3,1642.53123566118,1494.54458306633,1358.51729495928
15.35,1645.25877568745,1499.96827126069,1363.43269837671
15.4,1647.40769019895,1505.17663819144,1367.75037235875
15.45,1649.53758540537,1510.22538084202,1371.48113243234
15.5,1652.24587523718,1515.17236599594,1374.81676506787
15.55,1655.93611491184,1519.9617094131,1378.03698892834
15.6,1660.67060356746,1524.44756792922,1381.39970677449
15.65,1666.28121383457,1528.57308737245,1385.09627855596
15.7,1672.47370559023,1532.49121048681,1389.20600708647
15.75,1678.84112198174,1536.46016134121,1393.6137306127
15.8,1684.9364298303,1540.64485685058,1397.99244751646
15.85,1690.25431539025,1545.04940963406,1401.98327055073
15.9,1694.00725617033,1549.59374863633,1405.38465873472
15.95,1696.47264642285,1554.15195723741,1408.17539893085
16,1698.21019771216,1558.52114934786,1410.42563158832
16.05,1699.75091397896,1562.49739942603,1412.25962840651
16.1,1701.63422582528,1565.57140545925,1413.80531696883
16.15,1704.30832725199,1567.30239163177,1415.1575022313
16.2,1708.01547650881,1568.32811477887,1416.44223350431
16.25,1712.67699899727,1569.14879126144,1417.74337657484
16.3,1717.83117723203,1570.11478856805,1418.77124977239
16.35,1722.84003704112,1571.48470255772,1418.88536634067
16.4,1727.27704035454,1573.39691387524,1418.46932494161
16.45,1731.01713684517,1575.85357604717,1417.80024189021
16.5,1734.03717989641,1578.62510991165,1416.96091194213
16.55,1736.36181635965,1581.20291175088,1415.96386887357
16.6,1738.12701017635,1583.11400367581,1414.85121409013
16.65,1739.63814189413,1584.26419188243,1413.71686919984
16.7,1741.32834085704,1584.82955519514,1412.5971058809
16.75,1743.61350553369,1584.99278185989,1411.43605277441
16.8,1746.76020790424,1584.89543209229,1410.12005140906
16.85,1750.78762761138,1584.73064271311,1408.7297080909
16.9,1755.44718911367,1584.81750296778,1407.5492785603
16.95,1760.34500195882,1585.53187393791,1406.82215434556
17,1764.51327843864,1587.10207976901,1406.58378255302
17.05,1767.20429777088,1589.52046655038,1406.75494146746
17.1,1768.75470220157,1592.60574724836,1407.35478426807
17.15,1769.50550318566,1596.02479987382,1408.46143121933
17.2,1769.92551515311,1599.37762257947,1410.0833762037
17.25,1770.46738634567,1602.31787169426,1412.13601540369
17.3,1771.42455150739,1604.66956981784,1414.49513813646
17.35,1772.91741888452,1606.48899416738,1417.05339519323
17.4,1774.83524834766,1608.00363472278,1419.74763472302
17.45,1776.82773771191,1609.05996156174,1422.54685162583
17.5,1778.68059399797,1609.62609951207,1425.44534377941
17.55,1780.42108946015,1610.3276694968,1428.5023608742
17.6,1782.01595447742,1611.52620402801,1431.84782089204
17.65,1783.26502412145,1613.40737139654,1435.54786941621
17.7,1783.91745904855,1615.97307601119,1439.52524856987
17.75,1783.84274588131,1619.00630343185,1443.57384245923
17.8,1783.16479715704,1622.15740263039,1447.45716431446
17.85,1782.2628740275,1625.00230186594,1450.97667331812
