Time,X,Y,Z,Rotation 1,Rotation 2,Rotation 3
23.1,20.37283229,-1.499482561,14.68138868,0.833210988,-0.462348685,0.994849923
23.2,20.38571374,-1.484225775,14.58707404,0.854021988,-0.457968293,0.98183361
23.3,20.39608616,-1.471397232,14.49059154,0.872007797,-0.451851004,0.970990685
23.4,20.40392281,-1.461028177,14.39233393,0.887076742,-0.444020619,0.962357432
23.5,20.40920573,-1.453133163,14.2926981,0.899137201,-0.434505472,0.95595349
23.6,20.41192413,-1.447715903,14.19208329,0.908106841,-0.423338433,0.951784086
23.7,20.4120765,-1.444772099,14.09088794,0.913918691,-0.410556508,0.949842285
23.8,20.40967476,-1.444287282,13.98950781,0.916520993,-0.396201851,0.950108342
23.9,20.40474793,-1.446234867,13.88833438,0.915875754,-0.380319687,0.952546186
24,20.39734197,-1.450574988,13.7877523,0.911959067,-0.362954625,0.957103843
24.1,20.38751669,-1.457258879,13.68813835,0.904765704,-0.344149593,0.963716
24.2,20.37534046,-1.466232332,13.58986236,0.894313434,-0.323948562,0.972309125
24.3,20.36089029,-1.47743739,13.49328594,0.880644144,-0.302397714,0.98280243
24.4,20.34425587,-1.490808651,13.39875946,0.86381952,-0.279544728,0.995106802
24.5,20.32554059,-1.50627032,13.30662076,0.843914748,-0.255439577,1.009124591
24.6,20.30485835,-1.523736489,13.21719528,0.821017713,-0.2301349,1.02475121
24.7,20.28233275,-1.543115524,13.13079504,0.795232735,-0.203683832,1.041880791
24.8,20.25809518,-1.564312405,13.04771729,0.76667977,-0.176138933,1.060407359
24.9,20.23228301,-1.587224995,12.96824434,0.735488964,-0.147554911,1.080224726
25,20.20504205,-1.611741312,12.89264292,0.70179532,-0.117991451,1.101222969
25.1,20.1765264,-1.63773899,12.82116151,0.665737791,-0.087514033,1.123287788
25.2,20.14689702,-1.665087849,12.75402952,0.627461198,-0.056195201,1.146302751
25.3,20.11631639,-1.693652842,12.69145843,0.587118205,-0.024115802,1.17015153
25.4,20.08494823,-1.723295351,12.6336414,0.544869056,0.008637208,1.194719294
25.5,20.05296009,-1.753869648,12.58075141,0.500877088,0.041973037,1.219889288
25.6,20.02052456,-1.785222061,12.53294055,0.455304786,0.075795603,1.24554049
25.7,19.98781896,-1.817191915,12.49033996,0.408316366,0.110000237,1.271548677
25.8,19.95502215,-1.849617754,12.4530589,0.360083891,0.144473122,1.297788236
25.9,19.9223111,-1.882339683,12.42118413,0.310788468,0.179092509,1.324133023
26,19.88985703,-1.915197362,12.39478044,0.260615126,0.213729906,1.350455931
26.1,19.85782863,-1.948027295,12.37389137,0.209748599,0.248253231,1.376626548
26.2,19.82639473,-1.980664309,12.35853642,0.158372784,0.282530268,1.402511258
26.3,19.7957249,-2.012944001,12.34871094,0.106672567,0.316428043,1.427976017
26.4,19.76598578,-2.044706199,12.34438716,0.054836584,0.349810486,1.452888919
26.5,19.7373366,-2.075796912,12.34551514,0.003057161,0.382538832,1.477121256
26.6,19.70992722,-2.106065026,12.35202252,-0.048474706,0.414475462,1.500546137
26.7,19.68390073,-2.135360114,12.36381536,-0.099574193,0.445486122,1.523038056
26.8,19.65939427,-2.163535761,12.38077888,-0.15006071,0.47544061,1.544475245
26.9,19.63654057,-2.190452488,12.4027773,-0.199752444,0.504213422,1.564742765
27,19.61546688,-2.215980634,12.42965356,-0.248466087,0.531682309,1.583733785
27.1,19.59628942,-2.239996568,12.46123195,-0.29602216,0.557726567,1.601348737
27.2,19.57911323,-2.262382228,12.49731995,-0.3422492,0.582229391,1.617493276
27.3,19.56403525,-2.283023539,12.5377078,-0.386984885,0.605083417,1.632077864
27.4,19.55114808,-2.301813763,12.58216945,-0.430073827,0.626193611,1.645019579
27.5,19.54053892,-2.318655444,12.63046434,-0.471364108,0.645476035,1.65624286
27.6,19.5322881,-2.333462891,12.68233859,-0.510706264,0.662855932,1.66567866
27.7,19.52646517,-2.346157351,12.73752586,-0.547957956,0.67826724,1.673261771
27.8,19.52312728,-2.356665741,12.79574936,-0.582989569,0.691652329,1.67892944
27.9,19.52232238,-2.364920605,12.85672404,-0.615682323,0.702964457,1.682622545
28,19.52409387,-2.370864954,12.92015597,-0.645923626,0.712171765,1.68428751
28.1,19.52848214,-2.374452901,12.98574268,-0.673605742,0.719257606,1.683877272
28.2,19.53552022,-2.375646913,13.0531756,-0.698627767,0.72421563,1.681349888
28.3,19.54522954,-2.374417382,13.12214195,-0.720898132,0.727045783,1.67666758
28.4,19.55761819,-2.370742394,13.19232535,-0.740335677,0.727754201,1.669797264
28.5,19.57268221,-2.3646075,13.26340734,-0.756869644,0.726353959,1.660713539
28.6,19.59040868,-2.356008395,13.33506908,-0.770438081,0.722866241,1.649401892
28.7,19.61077971,-2.344951347,13.40699118,-0.780986828,0.717322048,1.635858801
28.8,19.63376879,-2.331449456,13.47885421,-0.788473196,0.709760015,1.620091202
28.9,19.65933838,-2.315521387,13.55034078,-0.792869863,0.700222029,1.602115639
29,19.68743614,-2.297192231,13.62113786,-0.794163917,0.688749552,1.58195975
29.1,19.71799709,-2.276494915,13.69093691,-0.792354718,0.67538538,1.559664199
29.2,19.75094722,-2.253471012,13.75943458,-0.787454484,0.660176043,1.535282665
29.3,19.78620491,-2.228168451,13.82633409,-0.77949011,0.643172234,1.508879928
29.4,19.82368083,-2.200640718,13.89134649,-0.768502256,0.62442838,1.480530267
29.5,19.8632768,-2.170947298,13.95419084,-0.754544178,0.604002166,1.450315858
29.6,19.90488287,-2.139155465,14.0145963,-0.737679373,0.581952341,1.418327948
29.7,19.94837916,-2.10534203,14.07230373,-0.717979134,0.558338029,1.384666962
29.8,19.99364002,-2.069593176,14.12706641,-0.695521098,0.533221769,1.349440154
29.9,20.04053483,-2.032003861,14.17864949,-0.670390217,0.506672611,1.312758303
30,20.08892911,-1.992675344,14.22683193,-0.642679126,0.478764511,1.274733359
30.1,20.13868122,-1.951718763,14.27140765,-0.612484194,0.449575057,1.235478448
30.2,20.18964262,-1.909255336,14.31218592,-0.579903551,0.419185358,1.195107974
30.3,20.24165896,-1.865415343,14.34899215,-0.545040185,0.387679536,1.153738372
30.4,20.29457256,-1.820334388,14.38167015,-0.508006739,0.355147052,1.111485648
30.5,20.34822499,-1.774150575,14.41008203,-0.468928078,0.321684247,1.068464955
30.6,20.40246228,-1.727005465,14.43410853,-0.427941474,0.287399259,1.024789844
30.7,20.45712952,-1.679043385,14.45364958,-0.385195428,0.252408013,0.980574828
30.8,20.51206934,-1.630413351,14.46862671,-0.340848718,0.216832733,0.935936553
30.9,20.5671227,-1.581265669,14.47898243,-0.29507223,0.18080063,0.890994122
31,20.62213103,-1.531750078,14.48468088,-0.248053448,0.14444468,0.845868396
31.1,20.67693763,-1.482013252,14.48570826,-0.199996984,0.107903455,0.800681999
31.2,20.73139042,-1.432200766,14.4820734,-0.151118789,0.071320889,0.755560862
31.3,20.78534123,-1.382460168,14.47380673,-0.101639418,0.034847052,0.710635346
31.4,20.83864433,-1.332941317,14.46096025,-0.051780748,-0.001365458,0.666040507
31.5,20.89115438,-1.283794,14.44360858,-0.001765087,-0.037166011,0.62191423
31.6,20.9427275,-1.235167524,14.42184864,0.048186668,-0.072407222,0.578395147
31.7,20.99322318,-1.187210524,14.39579818,0.097858248,-0.106945535,0.535622314
31.8,21.04250509,-1.140072094,14.36559576,0.147042727,-0.14064272,0.493735165
31.9,21.09044034,-1.093904379,14.33140043,0.195547636,-0.17336785,0.452873025
32,21.13689998,-1.048860255,14.29339007,0.243196009,-0.204997056,0.413173084
32.1,21.18175972,-1.005090972,14.25175978,0.289822482,-0.235415196,0.374767037
32.2,21.22489977,-0.962742017,14.20672212,0.33526968,-0.264518712,0.337779055
32.3,21.26620595,-0.921954068,14.15850574,0.379387927,-0.292216277,0.30232509
32.4,21.30557083,-0.882862197,14.10735401,0.422035388,-0.318427608,0.268512799
